iter	Passed	Remaining
473	687	763
474	689	761
475	690	759
476	691	758
477	693	757
478	695	755
479	696	754
480	697	752
481	698	750
482	699	748
483	700	747
484	701	745
485	702	743
486	703	741
487	704	739
488	706	738
489	707	736
490	709	735
491	710	733
492	711	731
493	712	729
494	713	727
495	713	725
496	714	723
497	715	721
498	716	719
499	717	717
500	718	715
501	719	713
502	721	712
503	722	711
504	723	709
505	724	707
506	726	705
507	726	704
508	727	702
509	728	700
510	729	698
511	730	696
512	732	694
513	732	692
514	733	691
515	735	689
516	736	687
517	737	686
518	738	684
519	739	682
520	739	680
521	740	678
522	741	676
523	742	674
524	743	672
525	744	671
526	746	669
527	747	668
528	749	667
529	751	666
530	752	664
531	753	662
532	754	660
533	755	659
534	756	657
535	756	655
536	757	653
537	758	651
538	759	649
539	760	647
540	761	645
541	762	644
542	763	642
543	765	641
544	766	639
545	767	638
546	768	636
547	769	634
548	770	632
549	771	630
550	772	629
551	772	627
552	773	625
553	774	623
554	775	621
555	776	620
556	777	618
557	778	617
558	779	615
559	780	613
560	781	611
561	782	610
562	783	608
563	784	606
564	785	604
565	786	603
566	787	601
567	788	599
568	789	597
569	789	595
570	790	594
571	792	593
572	793	591
573	795	590
574	796	588
575	796	586
576	798	585
577	798	583
578	799	581
579	800	579
580	801	578
581	802	576
582	803	574
583	804	572
584	804	570
585	805	569
586	807	567
587	808	566
588	809	565
589	810	563
590	811	561
591	812	559
592	813	558
593	814	556
594	814	554
595	815	552
596	816	551
597	817	549
598	818	547
599	819	546
600	820	544
601	821	542
602	822	541
603	823	540
604	825	538
605	826	537
606	827	535
607	828	533
608	828	532
609	829	530
610	830	528
611	831	527
612	832	525
613	833	524
614	834	522
615	836	521
616	837	520
617	839	518
618	840	517
619	841	515
620	842	514
621	843	512
622	844	511
623	845	509
624	846	507
625	847	506
626	848	504
627	849	502
628	850	501
629	851	500
630	853	498
631	854	497
632	855	496
633	857	494
634	857	493
635	858	491
636	859	489
637	860	488
638	861	486
639	862	484
640	863	483
641	863	481
642	865	480
643	867	479
644	868	477
645	869	476
646	870	475
647	871	473
648	872	471
649	873	470
650	874	468
651	875	467
652	876	465
653	877	464
654	877	462
655	878	460
656	880	459
657	882	458
658	883	457
659	884	455
660	885	454
661	886	452
662	887	451
663	888	449
664	889	447
665	890	446
666	890	444
667	891	443
668	892	441
669	893	440
670	895	439
671	897	438
672	898	436
673	899	435
674	900	433
675	901	432
676	902	430
677	903	428
678	904	427
679	905	425
680	905	424
681	906	422
682	908	421
683	910	420
684	911	419
685	912	417
686	913	416
687	914	414
688	915	413
689	916	411
690	917	410
691	918	408
692	919	407
693	920	406
694	921	404
695	923	403
696	925	402
697	926	400
698	927	399
699	928	398
700	929	396
701	930	395
702	931	393
703	932	392
704	933	390
705	934	389
706	936	387
707	936	386
708	938	385
709	940	384
710	941	382
711	942	381
712	943	379
713	944	378
714	945	377
715	946	375
716	948	374
717	949	372
718	950	371
719	951	370
720	952	368
721	954	367
722	956	366
723	957	364
724	959	363
725	960	362
726	961	361
727	963	359
728	965	358
729	967	357
730	978	359
731	979	358
732	980	357
733	981	355
734	982	354
735	984	353
736	986	352
737	987	350
738	988	349
739	990	347
740	992	346
741	994	345
742	996	344
743	1000	344
744	1001	342
745	1003	341
746	1005	340
747	1007	339
748	1009	338
749	1010	336
750	1013	335
751	1015	335
752	1017	333
753	1018	332
754	1020	331
755	1021	329
756	1022	328
757	1023	326
758	1024	325
759	1026	324
760	1029	323
761	1030	321
762	1031	320
763	1033	319
764	1034	317
765	1035	316
766	1036	314
767	1037	313
768	1039	312
769	1040	310
770	1041	309
771	1043	308
772	1045	306
773	1046	305
774	1047	304
775	1048	302
776	1049	301
777	1050	299
778	1052	298
779	1053	297
780	1054	295
781	1056	294
782	1058	293
783	1059	291
784	1060	290
785	1062	289
786	1063	287
787	1064	286
788	1065	285
789	1066	283
790	1067	282
791	1069	280
792	1072	279
793	1074	278
794	1075	277
795	1076	275
796	1077	274
797	1079	273
798	1081	272
799	1082	270
800	1083	269
801	1086	268
802	1088	267
803	1090	265
804	1091	264
805	1092	262
806	1093	261
807	1094	260
808	1095	258
809	1096	257
810	1097	255
811	1098	254
812	1100	253
813	1105	252
814	1108	251
815	1109	250
816	1110	248
817	1111	247
818	1112	245
819	1114	244
820	1116	243
821	1118	242
822	1119	240
823	1121	239
824	1122	238
825	1123	236
826	1124	235
827	1125	233
828	1126	232
829	1127	230
830	1128	229
831	1130	228
832	1132	227
833	1134	225
834	1135	224
835	1136	222
836	1137	221
837	1138	220
838	1139	218
839	1140	217
840	1142	215
841	1143	214
842	1146	213
843	1147	212
844	1149	210
845	1150	209
846	1151	207
847	1152	206
848	1153	205
849	1154	203
850	1155	202
851	1156	200
852	1157	199
853	1159	198
854	1161	196
855	1162	195
856	1163	194
857	1165	192
858	1166	191
859	1168	190
860	1168	188
861	1169	187
862	1171	185
863	1172	184
864	1173	183
865	1174	181
866	1175	180
867	1177	179
868	1178	177
869	1179	176
870	1180	174
871	1181	173
872	1182	171
873	1183	170
874	1184	169
875	1185	167
876	1186	166
877	1187	165
878	1189	163
879	1191	162
880	1193	161
881	1194	159
882	1195	158
883	1196	157
884	1198	155
885	1199	154
886	1200	152
887	1202	151
888	1203	150
889	1206	149
890	1208	147
891	1210	146
892	1212	145
893	1215	144
894	1217	142
895	1220	141
896	1222	140
897	1224	139
898	1226	137
899	1227	136
900	1229	135
901	1230	133
902	1233	132
903	1234	131
904	1236	129
905	1237	128
906	1239	127
907	1240	125
908	1242	124
909	1243	122
910	1244	121
911	1246	120
912	1247	118
913	1249	117
914	1250	116
915	1252	114
916	1253	113
917	1255	112
918	1257	110
919	1258	109
920	1259	108
921	1260	106
922	1262	105
923	1264	103
924	1265	102
925	1267	101
926	1269	99
927	1270	98
928	1272	97
929	1273	95
930	1275	94
931	1276	93
932	1278	91
933	1280	90
934	1281	89
935	1282	87
936	1284	86
937	1285	84
938	1287	83
939	1288	82
940	1289	80
941	1291	79
942	1292	78
943	1294	76
944	1295	75
945	1297	74
946	1298	72
947	1299	71
948	1300	69
949	1302	68
950	1303	67
951	1304	65
952	1306	64
953	1308	63
954	1310	61
955	1311	60
956	1312	58
957	1313	57
958	1314	56
959	1315	54
960	1316	53
961	1317	52
962	1319	50
963	1320	49
964	1322	47
965	1324	46
966	1325	45
967	1326	43
968	1327	42
969	1328	41
970	1329	39
971	1331	38
972	1331	36
973	1333	35
974	1334	34
975	1336	32
976	1339	31
977	1340	30
978	1341	28
979	1342	27
980	1343	26
981	1344	24
982	1345	23
983	1346	21
984	1348	20
985	1350	19
986	1352	17
987	1354	16
988	1355	15
989	1356	13
990	1357	12
991	1358	10
992	1359	9
993	1360	8
994	1361	6
995	1363	5
996	1364	4
997	1366	2
998	1367	1
999	1368	0
